code,name,stage,stage_label,confidence,close,ma34,price_position,ma_slope,crossover_count,volume_ratio
801780,银行,1,熊市,0.581,3883.56,4189.75,-0.0731,-0.012,0,1.1
801980,美容护理,2,熊牛转换,0.263,4488.66,4646.1,-0.0339,-0.0066,0,1.06
801120,食品饮料,2,熊牛转换,0.4,16299.64,16877.17,-0.0342,-0.0027,2,0.97
801150,医药生物,2,熊牛转换,0.364,8293.14,8592.22,-0.0348,0.0081,2,0.92
801960,石油石化,3,牛市,0.714,3053.59,2447.91,0.2474,0.0375,0,1.26
801950,煤炭,3,牛市,0.714,3081.04,2798.1,0.1011,0.0196,0,1.24
801890,机械设备,3,牛市,0.581,2447.32,2036.34,0.2018,0.0442,0,0.94
801880,汽车,3,牛市,0.581,8246.26,7757.67,0.063,0.0186,0,0.82
801790,非银金融,3,牛市,0.276,1973.82,2004.02,-0.0151,0.0125,1,0.87
801770,通信,3,牛市,0.581,5972.05,4781.16,0.2491,0.0706,0,0.93
801760,传媒,3,牛市,0.645,912.99,835.9,0.0922,0.0366,0,1.11
801750,计算机,3,牛市,0.364,5556.59,5335.65,0.0414,0.0219,0,0.92
801740,国防军工,3,牛市,0.643,2211.91,1826.3,0.2111,0.0389,0,0.74
801730,电力设备,3,牛市,0.645,11053.15,9489.18,0.1648,0.0526,0,1.01
801720,建筑装饰,3,牛市,0.645,2311.82,2126.37,0.0872,0.02,0,1.13
801710,建筑材料,3,牛市,0.645,6668.19,5315.93,0.2544,0.046,0,1.04
801010,农林牧渔,3,牛市,0.345,2912.65,2927.69,-0.0051,0.0097,1,1.02
801210,社会服务,3,牛市,0.364,9187.2,8869.12,0.0359,0.0161,0,0.84
801200,商贸零售,3,牛市,0.4,2330.36,2339.36,-0.0038,0.0139,1,0.64
801140,轻工制造,3,牛市,0.581,2624.98,2341.05,0.1213,0.0268,0,0.84
801130,纺织服饰,3,牛市,0.645,1776.73,1676.76,0.0596,0.0169,0,1.01
801110,家用电器,3,牛市,0.581,9253.94,9000.99,0.0281,0.0125,0,0.89
801080,电子,3,牛市,0.581,7447.71,6212.23,0.1989,0.0554,0,0.92
801050,有色金属,3,牛市,0.645,10212.04,7425.83,0.3752,0.0848,0,1.1
801040,钢铁,3,牛市,0.645,3031.82,2585.49,0.1726,0.0353,0,1.18
801030,基础化工,3,牛市,0.645,5163.81,4200.32,0.2294,0.0436,0,1.07
801970,环保,3,牛市,0.645,2198.73,1972.69,0.1146,0.0203,0,1.0
801230,综合,3,牛市,0.581,5110.16,3840.16,0.3307,0.0642,0,0.92
801180,房地产,4,牛熊转换,0.241,2287.62,2255.77,0.0141,0.0163,0,0.96
801170,交通运输,4,牛熊转换,0.294,2344.69,2265.94,0.0348,0.0042,0,0.97
801160,公用事业,4,牛熊转换,0.364,2552.38,2462.07,0.0367,0.0066,2,1.09
