code,name,atr_pct
801994,教育,0.089137
801767,数字媒体,0.085758
801764,游戏,0.084504
801081,半导体,0.082396
801735,光伏设备,0.081799
801219,酒店餐饮,0.079893
801039,非金属材料,0.07978
801104,软件开发,0.079778
801183,房地产服务,0.079666
801766,影视院线,0.079438
801193,证券,0.079163
801103,IT服务,0.078881
801056,能源金属,0.078733
801051,金属新材料,0.078608
801206,互联网电商,0.07855
801054,小金属,0.078477
801116,家电零部件,0.078368
801015,渔业,0.07688
801156,医疗服务,0.075821
801765,广告营销,0.075715
801731,电机,0.07536
801743,地面兵装,0.074924
801085,消费电子,0.074615
801083,元件,0.074333
801952,焦炭,0.073861
801082,其他电子,0.073826
801086,电子化学品,0.073345
801769,出版,0.072442
801102,通信设备,0.072414
801084,光学光电子,0.07224
801881,摩托车及其他,0.072024
801736,风电设备,0.071977
801737,电池,0.07152
801101,计算机设备,0.07118
801014,饲料,0.071178
801145,文娱用品,0.0711
801078,自动化设备,0.071045
801741,航天装备,0.07102
801096,商用车,0.070533
801016,种植业,0.070475
801745,军工电子,0.070091
801053,贵金属,0.069965
801733,其他电源设备,0.069857
801742,航空装备,0.069722
801072,通用设备,0.069538
801114,厨卫电器,0.069424
801993,旅游及景区,0.069322
801713,装修建材,0.069249
801037,橡胶,0.069075
801128,休闲食品,0.068981
801032,化学纤维,0.068838
801092,汽车服务,0.068738
801204,专业连锁,0.068683
801036,塑料,0.068629
801055,工业金属,0.068489
801153,医疗器械,0.068451
801712,玻璃玻纤,0.068364
801191,多元金融,0.068361
801113,小家电,0.0682
801142,家居用品,0.067658
801112,黑色家电,0.06764
801181,房地产开发,0.066844
801012,农产品加工,0.066791
801231,综合,0.066668
801152,生物制品,0.066507
801093,汽车零部件,0.066374
801074,专用设备,0.066246
801017,养殖业,0.066162
801744,航海装备,0.066009
801722,装修装饰,0.065758
801726,工程咨询服务,0.065695
801033,化学原料,0.065362
801178,物流,0.064989
801995,电视广播,0.064709
801018,动物保健,0.064683
801133,饰品,0.064574
801202,贸易,0.064544
801951,煤炭开采,0.064231
801982,化妆品,0.064219
801141,包装印刷,0.063972
801163,燃气,0.063954
801151,化学制药,0.063557
801126,非白酒,0.063551
801034,化学制品,0.063144
801095,乘用车,0.063123
801143,造纸,0.062478
801981,个护用品,0.062398
801154,医药商业,0.0623
801972,环保设备,0.062299
801218,专业服务,0.062244
801132,服装家纺,0.061652
801223,通信服务,0.061549
801115,照明设备,0.061216
801131,纺织制造,0.060876
801194,保险,0.060677
801962,油服工程,0.060417
801724,专业工程,0.060136
801155,中药,0.059521
801111,白色家电,0.058873
801711,水泥,0.058659
801043,冶钢原料,0.058498
801038,农化制品,0.058397
801124,食品加工,0.057748
801077,工程机械,0.057612
801738,电网设备,0.057569
801203,一般零售,0.05693
801045,特钢,0.055255
801723,基础建设,0.053992
801991,航空机场,0.053309
801129,调味发酵品,0.052652
801971,环境治理,0.052521
801044,普钢,0.05196
801076,轨交设备,0.051492
801721,房屋建设,0.05089
801125,白酒,0.050783
801161,电力,0.050135
801963,炼化及贸易,0.048148
801992,航运港口,0.046775
801127,饮料乳品,0.043507
801784,城商行,0.040373
801785,农商行,0.039979
801783,股份制银行,0.039217
801179,铁路公路,0.039144
801782,国有大型银行,0.034193
